baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
EJCDLKNP_00833	3143.09237183162	-2.75533111131496	0.0719050932185551	-38.3189978342722	0	0
EJCDLKNP_02768	2935.09377495239	-2.75148133360702	0.0737301445266499	-37.3182685490666	8.29687145668177e-305	1.28473205442639e-303
EJCDLKNP_01741	4736.5028562137	-2.74456080046329	0.0668240113750579	-41.0714763149897	0	0
EJCDLKNP_01514	170604.228123751	-2.74208351233527	0.0589201357792413	-46.5389883453283	0	0
EJCDLKNP_00388	4455.25251840986	-2.74058181812437	0.0703909704130684	-38.9337126913024	0	0
EJCDLKNP_00287	264.410845064972	-2.71676438066578	0.163430563366978	-16.6233556606262	4.72143328106829e-62	1.85643790266088e-61
EJCDLKNP_00161	10.4616480554022	-2.71655200975808	0.754167071450858	-3.60205598015837	0.000315710354246636	0.000461955140846028
EJCDLKNP_02576	3850.18099561523	-2.71506323246204	0.071248840933439	-38.1067705367792	0	0
EJCDLKNP_00098	2330.82549500183	-2.71069599095805	0.0771182003531233	-35.1498865189515	1.16706665735585e-270	1.5651197494183e-269
EJCDLKNP_01159	851.71520590612	-2.71000529535627	0.101977501219396	-26.5745410796636	1.33698431959874e-155	1.0459116916861e-154
EJCDLKNP_01508	51693.8567425642	-2.70682780281201	0.0676287276288937	-40.0248222569774	0	0
EJCDLKNP_01584	3018.06537102277	-2.70128459735065	0.0874047093005236	-30.9054811687872	1.0081653184776e-209	1.04793377740716e-208
EJCDLKNP_00477	81.8552968014847	-2.69156958554042	0.299014092823895	-9.00148069985996	2.22693624933845e-19	4.88657157999467e-19
EJCDLKNP_00885	935.8403454072	-2.69040552994727	0.10163067015369	-26.4723781303296	2.01654825231259e-154	1.55725217222288e-153
EJCDLKNP_01006	4505.00000089971	-2.68129759818534	0.0697785377261155	-38.4258209696164	0	0
EJCDLKNP_01517	42745.0079220168	-2.67123900113274	0.0646385721458207	-41.3257736434306	0	0
EJCDLKNP_00832	14013.7571188129	-2.66451953709922	0.0772035240258538	-34.512926329722	5.13307190916755e-261	6.58963590390569e-260
EJCDLKNP_01960	16005.7309685089	-2.65297044486135	0.0594271374227064	-44.6424068181296	0	0
EJCDLKNP_01498	35734.0932104684	-2.63754236585085	0.0554618330307861	-47.5559897990892	0	0
EJCDLKNP_01032	62795.2414365436	-2.63156941141679	0.0563275796713537	-46.7190216013332	0	0
EJCDLKNP_03097	35.8339791455915	-2.63003874755051	0.440711705951363	-5.96770794157385	2.40609549020745e-09	4.25421474548745e-09
EJCDLKNP_01516	27487.1066946219	-2.62799430844523	0.0745518041772187	-35.2505796130456	3.36149996509728e-272	4.56920628739919e-271
EJCDLKNP_01512	18367.152467537	-2.62186611072624	0.0561809214105152	-46.6682646866577	0	0
EJCDLKNP_00830	9650.67469292937	-2.61615221555494	0.060199282554679	-43.4581959208349	0	0
EJCDLKNP_01510	52791.0952817811	-2.61586043346952	0.0581876535968985	-44.955592325327	0	0
EJCDLKNP_01292	1758.27453743244	-2.6156571082229	0.0827916753695124	-31.5932380465645	4.57248304858768e-219	5.01304345910854e-218
